name,clean_name,approvaldt,origin,diameter,center_lon,center_lat,type,code,approval,min_lon,max_lon,min_lat,max_lat,ethnicity,continent,quad_name,quad_code,link,x,y
Luki,Luki,1979/01/01,Town in Ukraine.,20.801700000000000,322.632200000000012,-29.533700000000000,"Crater, craters",AA,Adopted by IAU,322.427700000000016,322.831000000000017,-29.704499999999999,-29.353500000000000,Ukraine,Europe,Margaritifer Sinus,mc19,http://planetarynames.wr.usgs.gov/Feature/3512,-37.3678000,-29.5337000
Lutsk,Lutsk,1976/01/01,Town in Ukraine.,4.854050000000000,356.912800000000004,38.699800000000003,"Crater, craters",AA,Adopted by IAU,356.862599999999986,356.967600000000004,38.660200000000003,38.741999999999997,Ukraine,Europe,Mare Acidalium,mc04,http://planetarynames.wr.usgs.gov/Feature/3524,-3.0872000,38.6998000
Luzin,Luzin,1976/01/01,"N. N.; Russian mathematician (1883-1950).",101.043999999999997,31.282100000000000,27.062200000000001,"Crater, craters",AA,Adopted by IAU,30.325600000000001,32.239800000000002,26.210300000000000,27.914999999999999,Russia,Europe,Arabia,mc12,http://planetarynames.wr.usgs.gov/Feature/3525,31.2821000,27.0622000
Lydda,Lydda,1997/01/01,Town in Israel.,33.830599999999997,328.048400000000015,24.422699999999999,"Crater, craters",AA,Adopted by IAU,327.731400000000008,328.358200000000011,24.136299999999999,24.707100000000001,Israel,Asia,Oxia Palus,mc11,http://planetarynames.wr.usgs.gov/Feature/3530,-31.9516000,24.4227000
Lyell,Lyell,1973/01/01,"Charles; British geologist (1797-1875).",121.832999999999998,344.528000000000020,-69.906800000000004,"Crater, craters",AA,Adopted by IAU,341.552099999999996,347.537699999999973,-70.935699999999997,-68.880300000000005,Great Britain,Europe,Mare Australe,mc30,http://planetarynames.wr.usgs.gov/Feature/3533,-15.4720000,-69.9068000
Lyot,Lyot,1973/01/01,"Bernard; French astronomer (1897-1952).",221.531000000000006,29.341300000000000,50.467100000000002,"Crater, craters",AA,Adopted by IAU,26.405400000000000,32.278799999999997,48.599200000000003,52.336700000000000,France,Europe,Ismenius Lacus,mc05,http://planetarynames.wr.usgs.gov/Feature/3538,29.3413000,50.4671000
Madrid,Madrid,1979/01/01,Spanish tracking site.,3.799770000000000,135.435599999999994,48.449700000000000,"Crater, craters",AA,Adopted by IAU,135.397300000000001,135.473999999999990,48.418199999999999,48.481299999999997,Spain,Europe,Cebrenia,mc07,http://planetarynames.wr.usgs.gov/Feature/3567,135.4356000,48.4497000
Mafra,Mafra,1976/01/01,Town in Brazil.,13.348500000000000,306.850500000000011,-44.019199999999998,"Crater, craters",AA,Adopted by IAU,306.696599999999989,307.009799999999984,-44.131000000000000,-43.905799999999999,Brazil,South and Central America,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3573,-53.1495000,-44.0192000
Magadi,Magadi,1979/01/01,Town in Kenya.,50.786200000000001,313.930700000000002,-34.518999999999998,"Crater, craters",AA,Adopted by IAU,313.417100000000005,314.457100000000025,-34.948000000000000,-34.091200000000001,Kenya,Africa,Argyre,mc26,http://planetarynames.wr.usgs.gov/Feature/3575,-46.0693000,-34.5190000
Magelhaens,Magelhaens,1976/01/01,"Fernao de; Portuguese navigator (1480-1521).",103.799000000000007,185.421600000000012,-32.356600000000000,"Crater, craters",AA,Adopted by IAU,184.380200000000002,186.453300000000013,-33.234900000000003,-31.483699999999999,Portugal,Europe,Phaethontis,mc24,http://planetarynames.wr.usgs.gov/Feature/3579,-174.5784000,-32.3566000
